condition,type,fixed,code_system,code,comorbidity_system
gi,dx,0,icd9,5716,pccc
gi,dx,0,icd9,5717,pccc
gi,dx,0,icd9,5718,pccc
gi,dx,0,icd9,5719,pccc
gi,dx,0,icd9,7503,pccc
gi,dx,0,icd9,V427,pccc
gi,dx,0,icd9,V441,pccc
gi,dx,0,icd9,V442,pccc
gi,dx,0,icd9,V443,pccc
gi,dx,0,icd9,V444,pccc
gi,dx,0,icd9,V551,pccc
gi,dx,0,icd9,V552,pccc
gi,dx,0,icd9,V553,pccc
gi,dx,0,icd9,V554,pccc
gi,dx,0,icd9,V4283,pccc
gi,dx,0,icd9,V4284,pccc
gi,dx,0,icd9,V5350,pccc
gi,dx,0,icd9,V5351,pccc
gi,dx,0,icd9,V5359,pccc
gi,dx,0,icd10,I820,pccc
gi,dx,0,icd10,K50,pccc
gi,dx,0,icd10,K51,pccc
gi,dx,0,icd10,K73,pccc
gi,dx,0,icd10,K74,pccc
gi,dx,0,icd10,K551,pccc
gi,dx,0,icd10,K562,pccc
gi,dx,0,icd10,K593,pccc
gi,dx,0,icd10,K754,pccc
gi,dx,0,icd10,K760,pccc
gi,dx,0,icd10,K761,pccc
gi,dx,0,icd10,K762,pccc
gi,dx,0,icd10,K763,pccc
gi,dx,0,icd10,K768,pccc
gi,dx,0,icd10,K9420,pccc
gi,dx,0,icd10,K9422,pccc
gi,dx,0,icd10,K9423,pccc
gi,dx,0,icd10,K9429,pccc
gi,dx,0,icd10,Q41,pccc
gi,dx,0,icd10,Q42,pccc
gi,dx,0,icd10,Q43,pccc
gi,dx,0,icd10,Q44,pccc
gi,dx,0,icd10,Q45,pccc
gi,dx,0,icd10,Q390,pccc
gi,dx,0,icd10,Q391,pccc
gi,dx,0,icd10,Q392,pccc
gi,dx,0,icd10,Q393,pccc
gi,dx,0,icd10,Q394,pccc
gi,dx,0,icd10,T8640,pccc
gi,dx,0,icd10,T8641,pccc
gi,dx,0,icd10,T8642,pccc
gi,dx,0,icd10,T86850,pccc
gi,dx,0,icd10,T86851,pccc
gi,dx,0,icd10,T86859,pccc
gi,dx,0,icd10,T86890,pccc
gi,dx,0,icd10,T86891,pccc
gi,dx,0,icd10,T86899,pccc
gi,dx,0,icd10,Z431,pccc
gi,dx,0,icd10,Z432,pccc
gi,dx,0,icd10,Z433,pccc
gi,dx,0,icd10,Z434,pccc
gi,dx,0,icd10,Z903,pccc
gi,dx,0,icd10,Z931,pccc
gi,dx,0,icd10,Z932,pccc
gi,dx,0,icd10,Z933,pccc
gi,dx,0,icd10,Z934,pccc
gi,dx,0,icd10,Z944,pccc
gi,dx,0,icd10,Z980,pccc
gi,dx,0,icd10,Z4651,pccc
gi,dx,0,icd10,Z4659,pccc
gi,dx,0,icd10,Z9049,pccc
gi,dx,0,icd10,Z9482,pccc
gi,dx,0,icd10,Z9483,pccc
gi,pc,0,icd9,253,pccc
gi,pc,0,icd9,254,pccc
gi,pc,0,icd9,504,pccc
gi,pc,0,icd9,526,pccc
gi,pc,0,icd9,527,pccc
gi,pc,0,icd9,4210,pccc
gi,pc,0,icd9,4211,pccc
gi,pc,0,icd9,4242,pccc
gi,pc,0,icd9,4281,pccc
gi,pc,0,icd9,4311,pccc
gi,pc,0,icd9,4319,pccc
gi,pc,0,icd9,4391,pccc
gi,pc,0,icd9,4399,pccc
gi,pc,0,icd9,4412,pccc
gi,pc,0,icd9,4432,pccc
gi,pc,0,icd9,4438,pccc
gi,pc,0,icd9,4439,pccc
gi,pc,0,icd9,4563,pccc
gi,pc,0,icd9,4581,pccc
gi,pc,0,icd9,4582,pccc
gi,pc,0,icd9,4583,pccc
gi,pc,0,icd9,4613,pccc
gi,pc,0,icd9,4622,pccc
gi,pc,0,icd9,4623,pccc
gi,pc,0,icd9,4632,pccc
gi,pc,0,icd9,4640,pccc
gi,pc,0,icd9,4641,pccc
gi,pc,0,icd9,4643,pccc
gi,pc,0,icd9,4697,pccc
gi,pc,0,icd9,5051,pccc
gi,pc,0,icd9,5059,pccc
gi,pc,0,icd9,5280,pccc
gi,pc,0,icd9,5282,pccc
gi,pc,0,icd9,5283,pccc
gi,pc,0,icd9,5284,pccc
gi,pc,0,icd9,5285,pccc
gi,pc,0,icd9,5286,pccc
gi,pc,0,icd9,5471,pccc
gi,pc,0,icd9,9624,pccc
gi,pc,0,icd9,9636,pccc
gi,pc,0,icd9,9702,pccc
gi,pc,0,icd10,0CT7XZZ,pccc
gi,pc,0,icd10,0CT70ZZ,pccc
gi,pc,0,icd10,0D1B0Z4,pccc
gi,pc,0,icd10,0D1B4Z4,pccc
gi,pc,0,icd10,0D1B8Z4,pccc
gi,pc,0,icd10,0D1H0Z4,pccc
gi,pc,0,icd10,0D1H4Z4,pccc
gi,pc,0,icd10,0D1H8Z4,pccc
gi,pc,0,icd10,0D1K0Z4,pccc
gi,pc,0,icd10,0D1K4Z4,pccc
gi,pc,0,icd10,0D1K8Z4,pccc
gi,pc,0,icd10,0D1L0Z4,pccc
gi,pc,0,icd10,0D1L4Z4,pccc
gi,pc,0,icd10,0D1L8Z4,pccc
gi,pc,0,icd10,0D1N0Z4,pccc
gi,pc,0,icd10,0D1N4Z4,pccc
gi,pc,0,icd10,0D1N8Z4,pccc
gi,pc,0,icd10,0D7E7ZZ,pccc
gi,pc,0,icd10,0D20X0Z,pccc
gi,pc,0,icd10,0D20XUZ,pccc
gi,pc,0,icd10,0D20XYZ,pccc
gi,pc,0,icd10,0D110J4,pccc
gi,pc,0,icd10,0D110K4,pccc
gi,pc,0,icd10,0D110Z4,pccc
gi,pc,0,icd10,0D113J4,pccc
gi,pc,0,icd10,0D114J4,pccc
gi,pc,0,icd10,0D114K4,pccc
gi,pc,0,icd10,0D114Z4,pccc
gi,pc,0,icd10,0D150J4,pccc
gi,pc,0,icd10,0D150K4,pccc
gi,pc,0,icd10,0D150Z4,pccc
gi,pc,0,icd10,0D153J4,pccc
gi,pc,0,icd10,0D154J4,pccc
gi,pc,0,icd10,0D154K4,pccc
gi,pc,0,icd10,0D154Z4,pccc
gi,pc,0,icd10,0D160J4,pccc
gi,pc,0,icd10,0D160J9,pccc
gi,pc,0,icd10,0D160JA,pccc
gi,pc,0,icd10,0D160K4,pccc
gi,pc,0,icd10,0D160K9,pccc
gi,pc,0,icd10,0D160KA,pccc
gi,pc,0,icd10,0D160Z4,pccc
gi,pc,0,icd10,0D160ZA,pccc
gi,pc,0,icd10,0D163J4,pccc
gi,pc,0,icd10,0D164J4,pccc
gi,pc,0,icd10,0D164J9,pccc
gi,pc,0,icd10,0D164JA,pccc
